Longitude;Latitude;Baum_ID;Strasse;Deutsch;Stammumfang;Grund_der_Faellung;Rechtswert;Hochwert
6.856081471;51.23514795;340983;Dreherstraße Hundeauslauf;Robinie;312;Pilzbefall (Eschenbaumschwamm);32350331.30;5678158.58
6.875855611;51.1472451;341096;GA Kammerathsfeldstr.;Robinie;40;absterbend;32351429.12;5668344.46
6.875802377;51.14715887;341097;GA Kammerathsfeld Str.;Robinie;70/80;absterbend;32351425.12;5668334.98
6.875956586;51.14702344;341098;GA Kammerathsfeldstr.;Robinie;100.120;absterbend;32351435.47;5668319.61
6.875837435;51.14699016;341104;GA Kammerathsfeldstr.;Kirsche;80;abgestorben;32351427.03;5668316.15
6.875791329;51.14691683;341105;GA Kammerathsfeldstr.;Kirsche;160;Pilzbefall (Lackporling);32351423.57;5668308.09
6.883832748;51.14660506;341106;KSP Lüderitzstr.Ecke H.-Opladenstr.;Fichte;100;absterbend;32351984.97;5668257.21
6.883591031;51.15747166;341107;Frankfurter Straße;Schwarz-Pappel;320;absterbend;32352002.84;5669465.96
6.883533884;51.15751721;341108;Frankfurter Straße;Silber-Pappel;300;absterbend;32351998.99;5669471.14
6.883349955;51.15769861;341109;Frankfurter Straße;Silber-Pappel;340;Morschung;32351986.71;5669491.68
6.881598878;51.1593648;341110;Frankfurter Straße;Schwarzerle;100;absterbend;32351869.61;5669680.47
6.881439326;51.15949141;341111;Frankfurter Straße;Schwarz-Pappel;150;abgestorben;32351858.86;5669694.87
6.881293414;51.15961998;341112;Frankfurter Straße;Schwarz-Pappel;180/ 200;absterbend;32351849.07;5669709.46
6.881192196;51.15967211;341113;Frankfurter Straße;Schwarz-Pappel;180;absterbend;32351842.16;5669715.46
6.881014713;51.15986226;341114;Frankfurter Straße;Schwarz-Pappel;200;absterbend;32351830.36;5669736.96
6.896362435;51.1514991;341115;Rostocker Straße 12Sandbirke;120;absterbend;32352876.84;5668776.24
6.896212866;51.15116571;341116;Rostocker Straße 12-14;Sandbirke;40/ 80;absterbend;32352865.32;5668739.47
6.912965553;51.13302198;341117;Dresdener Straße 161;Robinie;150;Morschung & absterbend;32353979.61;5666688.67
6.761309989;51.26899568;341118;Zeisigweg;Sandbirke;110;Morschung;32343830.68;5682119.49
6.761340084;51.26898708;341119;Zeisigweg;Sandbirke;112;Morschung;32343832.75;5682118.47
6.762177728;51.26887881;341120;Zeisigweg;Sandbirke;90;abgestorben;32343890.81;5682104.65
6.745421326;51.25524808;341122;Stockumer Kirchstraße;Kirsche;220;Sturmschaden;32342675.48;5680624.81
6.744846553;51.25484201;341123;Nordpark;Lärche;140;Sturmschaden & Schrägstand;32342633.99;5680580.89
6.745126932;51.25483239;341124;Nordpark;Apfel;80;abgestorben;32342653.52;5680579.22
6.74539246;51.25447606;341125;Nordpark;Apfel;140;abgestorben;32342670.83;5680539.03
6.768128191;51.26914939;341131;An der Golzheimer Heide;Spitzahorn;125;Stammschäden & Druckzwiesel;32344306.78;5682122.10
6.76832861;51.26900751;341132;An der Golzheimer Heide;Robinie;140;Schrägstand/Totholz/Stammschäden/KSP Standort;32344320.28;5682105.90
6.768359497;51.26914525;341133;An der Golzheimer Heide;Bergahorn;130;Morschung;32344322.90;5682121.15
6.768666526;51.2666285;341134;Krönerweg;Robinie;155;Pilzbefall & Schrägstand;32344335.81;5681840.66
6.768430282;51.26736498;341135;Krönerweg;Feldahorn;140;Morschung;32344321.82;5681923.05
6.759218356;51.27099467;341137;Eichenbruch;Spitzahorn;82;abgestorben;32343691.57;5682346.21
6.758856459;51.27105114;341138;Eichenbruch;Eberesche;83;Stammschäden;32343666.52;5682353.26
6.756621651;51.27126724;341139;Eichenbruch;Spitzahorn;83;abgestorben;32343511.38;5682382.05
6.755227351;51.27129951;341140;Goldregenweg;Silber-Pappel;145;Morschung;32343414.24;5682388.61
6.754986691;51.27131584;341141;Goldregenweg;Silber-Pappel;140;Morschung;32343397.51;5682390.94
6.754913645;51.2713202;341142;Goldregenweg;Spitzahorn;120;abgestorben;32343392.43;5682391.58
6.75477316;51.27134035;341143;Goldregenweg;Kirsche;100;abgestorben;32343382.70;5682394.12
6.754702294;51.27136174;341144;Goldregenweg;Bergahorn;134;Pilzbefall (Rußrindenkrankheit);32343377.83;5682396.65
6.754667668;51.27132501;341145;Goldregenweg;Kirsche;90;abgestorben;32343375.29;5682392.64
6.754505897;51.27134655;341146;Goldregenweg;Robinie;220;Morschung;32343364.08;5682395.38
6.754232469;51.27135273;341147;Goldregenweg;Spitzahorn;140;Stammschäden & Druckzwiesel;32343345.03;5682396.65
6.752773551;51.27131644;341148;Goldregenweg;Bergahorn;110;abgestorben;32343243.15;5682395.73
6.751771866;51.27037248;341149;Goldregenweg;Spitzahorn;280;Stammschäden;32343170.07;5682292.91
6.738148753;51.26865984;341150;Stockumer Höfe;Silber-Pappel;81;Morschung;32342214.00;5682131.67
6.738230202;51.26873246;341151;Stockumer Höfe;Silber-Pappel;130;Morschung;32342219.93;5682139.57
6.738240937;51.2686511;341152;Stockumer Höfe;Silber-Pappel;100;Morschung;32342220.40;5682130.50
6.733261564;51.26763758;341153;Stockumer Höfe;Kirsche;165;Morschung;32341869.60;5682028.52
6.733220952;51.267618;341154;Stockumer Höfe;Spitzahorn;155;Morschung;32341866.70;5682026.43
6.734231462;51.26769189;341155;Stockumer Höfe;Kirsche;80;abgestorben;32341937.44;5682032.47
6.734235786;51.26767102;341156;Stockumer Höfe;Kirsche;80;abgestorben;32341937.67;5682030.14
6.73426168;51.26765173;341157;Stockumer Höfe;Eberesche;220;Stammschäden;32341939.41;5682027.94
6.748803003;51.25917649;341161;Stockumer Kirchstraße;Bergahorn;145;abgestorben;32342924.82;5681054.37
6.752647533;51.26620459;341162;Freiligrathplatz;Bergahorn;140;Pilzbefall (Rußrindenkrankheit);32343216.96;5681827.61
6.752653547;51.2662253;341163;Freiligrathplatz;Robinie;100;Stammschäden;32343217.45;5681829.90
6.762168192;51.26071057;341164;Deikerstraße;Spitzahorn;170;Stammschäden;32343862.46;5681196.44
6.762161355;51.26052086;341165;Deikerstraße;Kirsche;100;abgestorben;32343861.34;5681175.36
6.761279015;51.2582456;341166;Edith-Stein-Weg;Robinie;90;Morschung;32343792.07;5680924.25
6.75365289;51.25723381;341167;Kaiserswerther Straße;Robinie;160;abgestorben;32343256.57;5680828.00
6.753552969;51.2572989;341168;Kaiserswerther Straße;Robinie;210;Morschung;32343249.82;5680835.45
6.751791405;51.25699723;341170;Nordpark;Robinie;260;Stammschäden;32343125.89;5680805.67
6.749006865;51.25880609;341172;Nordpark/Tanzring;Bergahorn;90;abgestorben;32342937.78;5681012.75
6.749046552;51.25881522;341173;Nordpark/Tanzring;Bergahorn;85;abgestorben;32342940.58;5681013.68
6.751732118;51.25829729;341174;Nordpark/Kanalgarten;Robinie;145;Stammschäden;32343126.18;5680950.35
6.760107961;51.26194284;341175;Danziger Straße;Robinie;140;Stammschäden;32343722.91;5681337.84
6.760056209;51.26190462;341176;Danziger Straße;Weide;160;Morschung;32343719.17;5681333.70
6.761484671;51.26297746;341177;Am Hain;Bergahorn;145;abgestorben;32343822.46;5681449.95
6.836313625;51.1985523;341178;Flottenstraße;Rosskastanie;131;Komplexerkrankung (Pilzbefall);32348831.59;5674129.94
6.828565698;51.27326039;341221;A44-Tunnel Mühlenbroich/GA;Robinie;160;Morschung;32348535.92;5682452.78
6.831851043;51.27381792;341222;A44-Tunnel Mühlenbroich/GA;Kirsche;150;Morschung;32348766.89;5682508.00
6.796370573;51.27905982;341223;Lichtenbroicher Weg;Silber-Pappel;100;Sturmschaden;32346309.81;5683164.54
6.796666275;51.27904146;341224;Lichtenbroicher Weg;Schwarz-Birke;60;Pilzbefall;32346330.37;5683161.88
6.863801859;51.16818784;341225;Münchener Straße;Robinie;110/190;abgestorben;32350653.77;5670697.51
6.863565584;51.16819305;341226;Münchener Straße;Robinie;170;abgestorben;32350637.27;5670698.57
6.863143152;51.16822716;341227;Münchener Straße;Robinie;130;abgestorben;32350607.85;5670703.22
6.863027621;51.16823836;341228;Münchener Straße;Robinie;100;abgestorben;32350599.81;5670704.70
6.877199013;51.16279537;341231;Friedhofstraße;Schwarz-Pappel;285;Stammschäden;32351572.99;5670070.79
6.85202037;51.21617747;341255;Arnstadter Weg;Sandbirke;30;Sturmschaden;32349986.14;5676057.51
6.860932463;51.19460639;341305;Büllenkothenweg 51;Weide;50;absterbend;32350538.67;5673640.84
6.854251422;51.20640018;341307;Chemnitzer Straße 43;Kirsche;90;absterbend;32350110.19;5674965.81
6.856748307;51.21648768;341311;Tannenhofweg ggü 93;Weide;90;Morschung;32350317.31;5676082.36
6.778006157;51.27541187;341383;Kartäuser Park/ Kittelbach/GA;Weide;350;Morschung;32345016.86;5682797.53
6.773734021;51.27764688;341392;Kartäuser Park/ Kittelbach/GA;Spitzahorn;60;Pilzbefall (Rußrindenkrankheit);32344726.45;5683055.07
6.773889018;51.27770639;341393;Kartäuser Park/ Kittelbach/GA;Weide;160;Stammschäden & Standsicherheit beeinträchtigt;32344737.46;5683061.36
6.786049949;51.19309802;341417;Himmelgeister Straße 236;Robinie;180;Pilzbefall;32345301.96;5673628.07
6.82132969;51.18420322;341496;Burscheider Straße;Baumhasel;97;Pilzbefall (glänzender Lackporling);32347737.53;5672565.39
6.738447568;51.23985419;341498;Saarwerdenstraße;Hainbuche;120;Sturmschaden;32342136.19;5678928.13
6.741698126;51.23148778;341504;Columbusstraße;Weißdorn;90;abgestorben;32342334.46;5677990.89
6.767512522;51.20498599;346793;Planetenstraße 23;Schwedische Mehlbeere;73;abgestorben;32344046.97;5674989.07
6.767241733;51.20590771;346894;Suitbertusstraße 26;Weißdorn;67;abgestorben;32344031.17;5675092.13
6.765370604;51.2064616;347009;Suitbertusstraße 1;Weißdorn;58;abgestorben;32343902.35;5675157.69
