Latitude;Longitude;Altitude;Geometry;Grund der Fällung;Baum_ID;Gattung;Art;Sorte;Deutsch;Straße;Hausnummer;Pflegebezirk;Politischer Bezirk;Stammumfang;X_Koord;Y_Koord
51.21302531;6.75787268;0;point;Pilzbefall (Lackporling) ;50662;Sorbus;intermedia;;Mehlbeere;Wupperstraße;37;3205;3;120;32343400.92;5675903.46
51.21324447;6.75788595;0;point;Pilzbefall (Lackporling) ;50663;Sorbus;intermedia;;Mehlbeere;Wupperstraße;29;3205;3;115;32343402.59;5675927.8
51.21367478;6.75791215;0;point;abgestorben;50665;Sorbus;intermedia;;Mehlbeere;Wupperstraße;23;3205;3;55;32343405.88;5675975.59
51.20184322;6.79314886;0;point;Pilzbefall (Lackporling) ;51010;Robinia;pseudoacaccia;;Scheinakazie;Schloßmannstraße;32;3207;3;233;32345827.14;5674585.53
51.21346082;6.79070114;0;point;Pilzbefall (Schwefelporling);51211;Robinia;pseudoacaccia;;Scheinakazie;Arminstraße;20;3207;3;115;32345695;5675882.43
51.21642536;6.79500374;0;point;Pilzbefall (Lackporling) ;51797;Robinia;pseudoacaccia;;Scheinakazie;Ellerstraße;70;3207;3;97;32346005.37;5676203.03
51.21521532;6.79933817;0;point;Pilzbefall (Schwefelporling);51805;Robinia;pseudoacaccia;;Scheinakazie;Ellerstraße;124;3207;3;115;32346304.02;5676059.41
51.21626543;6.79561326;0;point;Morschungen am Stammfuß;51806;Robinia;pseudoacaccia;;Scheinakazie;Ellerstraße;78;3207;3;124;32346047.4;5676183.97
51.21512741;6.79959869;0;point;Morschungen am Stammfuß;51811;Robinia;pseudoacaccia;;Scheinakazie;Ellerstraße;130;3207;3;109;32346321.92;5676049.09
51.21603579;6.79643288;0;point;Morschungen am Stammfuß;51818;Robinia;pseudoacaccia;;Scheinakazie;Ellerstraße;82;3207;3;118;32346103.87;5676156.72
51.21247808;6.80813052;0;point;Pilzbefall (Lackporling) ;52589;Sorbus;aria Magnifica;;Mehlbeere;Heerstraße;16a;3207;3;90;32346908.94;5675736.7
51.21356323;6.79304374;0;point;Stammschäden;53176;Acer;platanoides;;Spitzahorn;Lessingstraße;ggü 55;3207;3;182;32345858.94;5675888.9
51.20032959;6.7902385;0;point;Morschungen am Stammfuß;53438;Acer;platanoides;;Spitzahorn;Moorenplatz;Grünanlage;3207;3;117;32345618.78;5674423.34
51.1983557;6.78512405;0;point;Stammschäden;53517;Tilia;pallida;;Linde;Moorenstraße;20;3207;3;190;32345254.89;5674214.62
51.21153201;6.79770467;0;point;;53676;Crataegus;laevigata;Paul`s Scarlet;Rotdorn;Oberbilker Allee;;;;;32346177.67;5675653.28
51.2058043;6.79024456;0;point;Komplexerkrankung;53861;Aesculus;hippocastanum;;Ross-Kastanie;Redinghovenstraße;16;3207;3;205;32345637.51;5675032.06
51.21269771;6.81544783;0;point;Komplexerkrankung;54286;Aesculus;hippocastanum;;Ross-Kastanie;Ronsdorfer Straße;145;3207;3;132;32347420.69;5675745.9
51.21258759;6.81533505;0;point;Komplexerkrankung;54289;Aesculus;hippocastanum;;Ross-Kastanie;Ronsdorfer Straße;145;3207;3;149;32347412.45;5675733.89
51.22165426;6.8113602;0;point;Pilzbefall (Lackporling) ;54310;Sorbus;aria Magnifica;;Mehlbeere;Ruhrtalstraße;22;3207;3;114;32347164.89;5676750.28
51.21222521;6.80217916;0;point;Morschungen am Stammfuß;54782;Robinia;pseudoacaccia;Monophylla;Scheinakazie;Sonnenstraße;82a;3207;3;186;32346492.47;5675721
51.21218819;6.80185059;0;point;Morschungen am Stammfuß;54784;Robinia;pseudoacaccia;Monophylla;Scheinakazie;Sonnenstraße;93;3207;3;155;32346469.4;5675717.57
51.21220777;6.80176775;0;point;Morschungen am Stammfuß;54785;Robinia;pseudoacaccia;Monophylla;Scheinakazie;Sonnenstraße;91;3207;3;130;32346463.68;5675719.92
51.21262724;6.79205066;0;point;Morschungen am Stammfuß;54824;Robinia;pseudoacaccia;Monophylla;Scheinakazie;Sonnenstraße;7;3207;3;156;32345786.46;5675786.91
51.21959357;6.80770053;0;point;Pilzbefall (Lackporling) ;55230;Acer;platanoides;;Spitzahorn;Werdener Straße;;3207;3;110;32346902.52;5676528.77
51.20039369;6.78921376;0;point;Pilzbefall (Lackporling) ;55573;Robinia;pseudoacaccia;;Scheinakazie;Witzelstraße;82;3207;3;207;32345547.41;5674432.62
51.19903434;6.79225361;0;point;Morschungen am Stammfuß;55581;Robinia;pseudoacaccia;;Scheinakazie;Witzelstraße;98;3207;3;209;32345755.22;5674275.09
51.19861785;6.79315888;0;point;Morschungen am Stammfuß;55587;Robinia;pseudoacaccia;;Scheinakazie;Witzelstraße;106;3207;3;204;32345817.07;5674226.88
51.17920675;6.81006837;0;point;;55805;Ginkgo;biloba;;Fächerblattbaum;Lise-Meitner-Straße;5;;;;32346934.03;5672033.22
51.13678308;6.91368537;0;point;abgestorben;61239;Robinia;pseudoacaccia;;Scheinakazie;Bad Harzburger Straße;70;3210;10;100;32354041.83;5667105.44
51.14587625;6.885405;0;point;abgestorben;63213;Carpinus;betulus;;Hainbuche;Josef-Maria-Olbrich-Straße;45;3210;10;125;32352092.6;5668173.01
51.14585432;6.88546048;0;point;abgestorben;63242;Carpinus;betulus;;Hainbuche;Josef-Maria-Olbrich-Straße;45;3210;10;160;32352096.41;5668170.46
51.13463455;6.91557778;0;point;Stammschäden;63844;Prunus;serrulata Amanogawa;;Vogelkirsche;Nordhausener Straße;Wernigeroder straße 129;3210;10;60;32354167.44;5666862.79
51.1483981;6.88523895;0;point;Pilzbefall (Lackporling) ;64102;Sorbus;intermedia;;Mehlbeere;Petersstraße;19;3210;10;40;32352089.05;5668453.75
51.13826462;6.90001418;0;point;;64277;Acer;;;Spitzahorn;Ricarda-Huch-Straße;Parkplatz;;;;32353090.19;5667297.39
