Longitude;Latitude;Baum_ID;Strasse;Deutsch;Stammumfang;Grund_der_Faellung;Rechtswert;Hochwert
6.740394144994219;51.26322206568647;368554;Beckbuschstraße  Gehölzbepflanzung;Bergahorn;90;absterbend ;32342352.01;5681522.22
6.741972274940489;51.263640063462624;368555;Beckbuschstraße  Gehölzbepflanzung;Bergahorn;100;Rußrindenkrankheit;32342463.53;5681565.31
6.742882248510261;51.26385089188339;368556;Beckbuschstraße  Gehölzbepflanzung;Clusius-Ulme;70;abgestorben;32342527.73;5681586.8
6.7426237864793945;51.26381874548276;276235;Beckbuschstraße Gehölzbepflanzung Lärmschutzwall;Waldkiefer;80;abgestorben;32342509.59;5681583.78
6.741534179284447;51.26350596820758;352919;Beckbuschstraße  Gehölzbepflanzung;Hainbuche;100;abgestorben;32342432.51;5681551.34
6.73933761758754;51.263290246148294;352920;Heymstraße gegenüber 46 Spielplatz ;Spitzahorn;145;abgestorben;32342278.54;5681532.07
6.73880575939718;51.26379026712223;334664;Beckbuschstraße hinter 33 Gehölzbepflanzung;Bergahorn;70;Rußrindenkrankheit;32342243.15;5681588.81
6.738618791076208;51.2638027526033;368562;Heymstraße hinter 31;Bergahorn;80;Rußrindenkrankheit;32342230.15;5681590.6
6.738391734273358;51.26417915377641;368564;Heymstraße hinter 31;Bergahorn;100;Rußrindenkrankheit;32342215.6;5681632.94
6.737471204168624;51.264892629133705;276249;Beckbuschstraße Gehölzbepflanzung Lärmschutzwall;Spitzahorn;150;abgestorben;32342153.83;5681714.25
6.737089502046864;51.26491789510233;368565;Beckbuschstraße Lärmschutzwall;Bergahorn;120;abgestorben;32342127.29;5681717.88
6.7370844950811195;51.26510441564109;352928;Heymstraße Wall Gehölzbepflanzung;Bergahorn;130;abgestorben;32342127.58;5681738.63
6.7366357427361425;51.26530969463026;368566;Heymstraße Gehweg Gehölzbepflanzung;Bergahorn;50;abgestorben;32342096.98;5681762.42
6.737124062653145;51.265235678049926;368567;Heymstraße Gehweg Gehölzbepflanzung;Bergahorn;30;Rußrindenkrankheit;32342130.79;5681753.14
6.739279001933121;51.266260151234455;368570;Stockumer Höfe Messeparkplatz Gehölzbepflanzung;Bergahorn;50;Rußrindenkrankheit;32342284.62;5681862.42
6.738897862137145;51.26601679508378;368571;Stockumer Höfe Messeparkplatz Gehölzbepflanzung;Stiel-Eiche;130;abgestorben ;32342257.2;5681836.18
6.738531852756882;51.266081401282854;368572;Stockumer Höfe Wall Gehölzbepflanzung;Rotbuche;70;absterbend ;32342231.89;5681844.15
6.73868921252626;51.26610278922254;368573;Stockumer Höfe Wall Gehölzbepflanzung;Rotbuche;80;absterbend ;32342242.94;5681846.19
6.737768636820609;51.265707444465015;368574;Stockumer Höfe Wall Gehölzbepflanzung;Bergahorn;100;abgestorben ;32342177.37;5681804.21
6.737042715534662;51.26569214936421;368575;Stockumer Höfe Wall Gehölzbepflanzung;Bergahorn;60;absterbend ;32342126.68;5681804.07
6.735815523859145;51.26499065244531;368576;Stockumer Höfe Wall Gehölzbepflanzung;Bergahorn;150;absterbend ;32342038.67;5681728.71
6.760568895052685;51.26042266832615;125378;Koetschaustraße ;Sandbirke;200;absterbend ;32343749.91;5681167.83
6.759542580291098;51.264062420533115;125338;Carl-Sonnenschein-Straße gegenüber 22 Spielplatz;Sandbirke;115;abgestorben;32343690.66;5681574.72
6.758417300575508;51.26295147765668;336377;Ganghoferstraße hinter 17;Sandbirke;180;abgestorben;32343608.39;5681453.59
6.751077078207321;51.25290355876615;326175;ERICH-HOEPNER-STR., GA;Felsenbirne;20;abgestorben ;32343062.11;5680352.02
6.764400577872808;51.25853659547255;368584;Danziger Straße Nordfriedhof;Bergahorn;60;Rußrindenkrankheit;32344010.84;5680949.97
6.729255775316518;51.26581947452749;368657;Stockumer Höfe Zaun Betriebshof Gehölzbepflanzung;Bergahorn;100;Rußrindenkrankheit;32341583.93;5681835
6.7297333283342144;51.26745613529089;354100;Stockumer Höfe 180  Gehölzbepflanzung;Götterbaum;130;abgestorben;32341622.87;5682015.95
6.7296222451263255;51.267682507884494;368658;Stockumer Höfe Holzlager, Schreinerei Gehölzbepflanzung;Abendländischer Lebensbaum;100;absterbend ;32341615.9;5682041.36
6.7297990213770245;51.26918292444317;368664;Stockumer Höfe Betriebshof, Mat-Lager, Zaun Gehölzbepflanzung;Rotbuche;80;absterbend ;32341633.39;5682207.81
6.729833829541206;51.26924169845013;368665;Stockumer Höfe Grünstreifen;Rotbuche;120;abgestorben;32341636.02;5682214.27
6.730074300935825;51.26917099679759;368661;Stockumer Höfe Zaun Mat-Lager Grünstreifen;Abendländischer Lebensbaum;70;absterbend ;32341652.55;5682205.89
6.729853308582727;51.2691810097084;368663;Stockumer Höfe  Grünstreifen;Rotbuche;120;abgestorben;32341637.17;5682207.48
6.729879258342034;51.26917809554522;368662;Stockumer Höfe  Grünstreifen;Rotbuche;70;abgestorben;32341638.97;5682207.1
6.729997600394664;51.26916806998722;368659;Stockumer Höfe  Grünstreifen;Buche;130;abgestorben;32341647.19;5682205.73
6.730097170474003;51.2691665838593;368660;Stockumer Höfe  Grünstreifen;Rotbuche;120;abgestorben;32341654.13;5682205.35
6.729623638162108;51.26921873403412;368666;Stockumer Höfe Zaun Containerplatz Grünstreifen;Rotbuche;110;absterbend;32341621.28;5682212.17
6.731595610129118;51.268969360881655;368667;Stockumer Höfe  Grünstreifen;Silberpappel;160;abgestorben;32341757.97;5682180.19
6.747447519032465;51.27016449530837;368668;Am Vogelsang 25 Böschung Grünstreifen;Vogel-Kirsche;100;absterbend;32342867.74;5682279.03
6.762731308639805;51.258468896744944;368669;3 Nurnen, davor kleine Freifläche und Me Gehölzbepflanzung;Stiel-Eiche;150;abgestorben;32343894.15;5680945.99
6.762385878749116;51.258433422261;368673;Danziger Straße  Fußgängerbrücke Anlagenbaum;Spitzahorn;115;abgestorben;32343869.93;5680942.78
6.762912493033614;51.257745499489694;368674;Danziger Straße Radweg Anlagenbaum;Stiel-Eiche;130;abgestorben;32343904.34;5680865.17
6.763252632052305;51.257311226424264;368675;Danziger Straße Radweg Gehölzbepflanzung;Stiel-Eiche;150;abgestorben;32343926.6;5680816.16
6.762366169752004;51.2626281007724;125174;Am Hain 44 Restaurant;Sandbirke;160;absterbend ;32343882.77;5681409.23
6.761987460712997;51.262551158118825;125169;Am Hain 44 Restaurant Hotel Grünstreifen;Sandbirke;170;abgestorben ;32343856.09;5681401.48
6.748989670164807;51.25514500729363;327520;Nordpark;Sandbirke;100;abgestorben;32342924.1;5680605.71
6.767519945735871;51.26083168390773;380418;Thewissenweg 55 Ecke Heinefeldplatz Grünstreifen;Amerikanischer Amberbaum;25;abgestorben ;32344236.23;5681198.54
6.7723044956396645;51.262278288458724;340376;Thewissenweg ggü. 15 Grünstreifen;Amerikanischer Amberbaum;25;abgestorben;32344574.9;5681349.25
6.7646639119615015;51.259643699479035;380424;Thewissenweg ggü. 81 Grünstreifen;Robinie;70;abgestorben;32344032.96;5681072.51
6.766769573712904;51.26674448781594;380430;Ammerweg ggü. 5 Bezirkssportanlage Gehölzbepflanzung;Bergahorn;120;absterbend ;32344203.88;5681857.58
6.759218355603989;51.27099466559468;341137;Eichenbruch Böschungsscheitel Gehölzbepflanzung;Spitzahorn;60;abgestorben;32343691.57;5682346.21
6.759542394188676;51.27078214621828;380441;Am Roten Haus  Böschung zum Grundstück;Vogel-Kirsche;50;abgestorben ;32343713.45;5682321.89
6.7597475824477575;51.27050169773518;380442;Am Roten Haus Fußgängerweg Gehölzbepflanzung ggü. 67;Bergahorn;120;abgestorben;32343726.81;5682290.27
6.759744106347011;51.27053778534325;380444;Am Roten Haus Fußgängerweg, gegenüber Laterne Gehölzbepflanzung ggü. 67;Bergahorn;130;absterbend ;32343726.69;5682294.29
6.75984869147047;51.27034777470457;125792;Am Roten Haus ggü. 67 Gehölzbepflanzung;Bergahorn;130;abgestorben ;32343733.34;5682272.94
6.759912698713355;51.27027867023963;354088;Am Roten Haus ggü. 67;Berg-Ulme;60;abgestorben ;32343737.57;5682265.12
6.759870874279317;51.2702631201648;125785;Am Roten Haus Gehölzbepflanzung ggü. 67;Bergahorn;180;absterbend ;32343734.6;5682263.48
6.759977089138035;51.27002484513398;125772;Am Roten Haus gegenüber 55 Gehölzbepflanzung;Bergahorn;90;abgestorben ;32343741.2;5682236.76
